subject,class,scenario,timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
subject1,normal,0,1733143133217,2.50347,0.92154,0.53716,-0.01380,0.01094,-0.00061
subject1,normal,0,1733143133267,2.91587,-0.10845,0.24650,-0.01153,0.00783,0.00070
subject1,normal,0,1733143133316,2.09685,0.23087,0.22614,-0.00326,-0.00018,0.00286
subject1,normal,0,1733143133368,3.55718,-1.27921,0.47487,0.00114,0.00148,0.00002
subject1,normal,0,1733143133417,4.75269,0.79279,-1.20326,-0.00456,0.00749,-0.00368
subject1,normal,0,1733143133469,3.20183,0.99028,-0.37118,0.00103,-0.00367,-0.00228
subject1,normal,0,1733143133519,1.34819,-0.53609,0.43469,0.00425,0.00127,0.00293
subject1,normal,0,1733143133569,1.04629,1.36385,0.87613,0.00151,-0.00719,0.00274
subject1,normal,0,1733143133619,1.91262,-1.33326,0.15553,0.01495,-0.00754,-0.00118
subject1,normal,0,1733143133669,1.05867,1.23293,0.54322,-0.00001,-0.00948,0.00128
subject1,normal,0,1733143133719,2.19301,-0.20067,-0.99552,0.00091,0.00418,0.00004
subject1,normal,0,1733143133768,2.65524,0.78310,0.30361,-0.00016,-0.00806,-0.00024
subject1,normal,0,1733143133817,3.32533,2.39078,-0.31691,-0.00516,0.01448,-0.00289
subject1,normal,0,1733143133870,1.70332,-3.71155,-0.32716,0.01083,0.00648,-0.00470
subject1,normal,0,1733143133916,1.52644,-0.06660,-1.69960,0.00690,-0.01485,-0.00204
subject1,normal,0,1733143133995,0.07259,-0.00619,0.36037,0.00299,-0.00264,0.00078
subject1,normal,0,1733143134043,0.48642,-2.25488,1.42963,0.01185,-0.01163,0.00101
subject1,normal,0,1733143134091,0.51690,2.06355,-0.45311,-0.00087,-0.01353,0.00333
subject1,normal,0,1733143134144,1.34789,2.56873,1.02558,-0.01155,-0.00760,-0.00045
subject1,normal,0,1733143134194,4.02147,3.19998,-0.74889,-0.00419,0.00767,-0.00047
subject1,normal,0,1733143134242,2.07298,-1.00432,0.31874,-0.00594,0.00159,-0.00192
subject1,normal,0,1733143134290,2.34008,-2.06711,2.16926,0.00134,0.01564,0.00009
subject1,normal,0,1733143134343,1.54553,0.21422,-1.63458,-0.00235,0.00397,0.00045
